id,title,genres,overview,cast,director,release_date,popularity,vote_average,vote_count,poster_url
1523145,"romance, drama","Romance, Drama","High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.","Daniel Vegas, Veronika Zhuravleva, Ivan Trushin, Maksim Saprykin, Alya Mayer","Daniel Vegas, Veronika Zhuravleva, Ivan Trushin, Maksim Saprykin, Alya Mayer","Daniel Vegas, Veronika Zhuravleva, Ivan Trushin, Maksim Saprykin, Alya Mayer",1043.4595,7.0,21,"Daniel Vegas, Veronika Zhuravleva, Ivan Trushin, Maksim Saprykin, Alya Mayer"
83533,"science fiction, adventure, fantasy","Science Fiction, Adventure, Fantasy","In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.","Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Oona Chaplin","Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Oona Chaplin","Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Oona Chaplin",369.7046,7.276,2019,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Oona Chaplin"
1084187,"action, thriller","Action, Thriller",A troupe of ballerinas find themselves fighting for survival as they attempt to escape from a remote inn after their bus breaks down on the way to a dance competition.,"Maddie Ziegler, Lana Condor, Iris Apatow, Millicent Simmonds, Avantika","Maddie Ziegler, Lana Condor, Iris Apatow, Millicent Simmonds, Avantika","Maddie Ziegler, Lana Condor, Iris Apatow, Millicent Simmonds, Avantika",304.1287,6.777,146,"Maddie Ziegler, Lana Condor, Iris Apatow, Millicent Simmonds, Avantika"
1115544,"comedy, science fiction, crime","Comedy, Science Fiction, Crime","Two gangsters and the woman they love try to survive the most dangerous night of their lives. As if that wasn’t enough, there’s one wild ingredient added to the mix: a time machine.","James Marsden, Vince Vaughn, Eiza González, Keith David, Jimmy Tatro","James Marsden, Vince Vaughn, Eiza González, Keith David, Jimmy Tatro","James Marsden, Vince Vaughn, Eiza González, Keith David, Jimmy Tatro",323.4594,6.752,101,"James Marsden, Vince Vaughn, Eiza González, Keith David, Jimmy Tatro"
1290821,"action, crime, thriller","Action, Crime, Thriller","A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.","Jason Statham, Bodhi Rae Breathnach, Michael Shaeffer, Anna Crilly, Bill Nighy","Jason Statham, Bodhi Rae Breathnach, Michael Shaeffer, Anna Crilly, Bill Nighy","Jason Statham, Bodhi Rae Breathnach, Michael Shaeffer, Anna Crilly, Bill Nighy",284.1759,6.729,435,"Jason Statham, Bodhi Rae Breathnach, Michael Shaeffer, Anna Crilly, Bill Nighy"
687163,"science fiction, adventure","Science Fiction, Adventure","Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction… but an unexpected friendship means he may not have to do it alone.","Ryan Gosling, James Ortiz, Sandra Hüller, Lionel Boyce, Milana Vayntrub","Ryan Gosling, James Ortiz, Sandra Hüller, Lionel Boyce, Milana Vayntrub","Ryan Gosling, James Ortiz, Sandra Hüller, Lionel Boyce, Milana Vayntrub",256.0702,8.176,802,"Ryan Gosling, James Ortiz, Sandra Hüller, Lionel Boyce, Milana Vayntrub"
1297842,"animation, comedy, family","Animation, Comedy, Family","A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world.","Caleb McLaughlin, Gabrielle Union, Stephen Curry, Aaron Pierre, Nicola Coughlan","Caleb McLaughlin, Gabrielle Union, Stephen Curry, Aaron Pierre, Nicola Coughlan","Caleb McLaughlin, Gabrielle Union, Stephen Curry, Aaron Pierre, Nicola Coughlan",276.7612,7.76,235,"Caleb McLaughlin, Gabrielle Union, Stephen Curry, Aaron Pierre, Nicola Coughlan"
1198994,"horror, thriller, comedy","Horror, Thriller, Comedy","Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive.","Rachel McAdams, Dylan O'Brien, Edyll Ismail, Dennis Haysbert, Xavier Samuel","Rachel McAdams, Dylan O'Brien, Edyll Ismail, Dennis Haysbert, Xavier Samuel","Rachel McAdams, Dylan O'Brien, Edyll Ismail, Dennis Haysbert, Xavier Samuel",208.7914,7.077,735,"Rachel McAdams, Dylan O'Brien, Edyll Ismail, Dennis Haysbert, Xavier Samuel"
875828,"crime, drama","Crime, Drama","After his estranged son gets embroiled in a Nazi plot, self-exiled gangster Tommy Shelby must return to Birmingham to save his family — and his nation.","Cillian Murphy, Barry Keoghan, Rebecca Ferguson, Tim Roth, Stephen Graham","Cillian Murphy, Barry Keoghan, Rebecca Ferguson, Tim Roth, Stephen Graham","Cillian Murphy, Barry Keoghan, Rebecca Ferguson, Tim Roth, Stephen Graham",175.0863,7.319,580,"Cillian Murphy, Barry Keoghan, Rebecca Ferguson, Tim Roth, Stephen Graham"
840464,"adventure, thriller, science fiction","Adventure, Thriller, Science Fiction","Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.","Gerard Butler, Morena Baccarin, Roman Griffin Davis, Tommie Earl Jenkins, Trond Fausa Aurvåg","Gerard Butler, Morena Baccarin, Roman Griffin Davis, Tommie Earl Jenkins, Trond Fausa Aurvåg","Gerard Butler, Morena Baccarin, Roman Griffin Davis, Tommie Earl Jenkins, Trond Fausa Aurvåg",176.0529,6.492,764,"Gerard Butler, Morena Baccarin, Roman Griffin Davis, Tommie Earl Jenkins, Trond Fausa Aurvåg"
1265609,"action, science fiction, thriller","Action, Science Fiction, Thriller","On one last grueling mission during Army Ranger training, a combat engineer must lead his unit in a fight against a giant otherworldly killing machine.","Alan Ritchson, Dennis Quaid, Stephan James, Jai Courtney, Esai Morales","Alan Ritchson, Dennis Quaid, Stephan James, Jai Courtney, Esai Morales","Alan Ritchson, Dennis Quaid, Stephan James, Jai Courtney, Esai Morales",170.7502,7.285,1237,"Alan Ritchson, Dennis Quaid, Stephan James, Jai Courtney, Esai Morales"
1159559,"horror, mystery, crime","Horror, Mystery, Crime","When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all.","Neve Campbell, Courteney Cox, Isabel May, Jasmin Savoy Brown, Mason Gooding","Neve Campbell, Courteney Cox, Isabel May, Jasmin Savoy Brown, Mason Gooding","Neve Campbell, Courteney Cox, Isabel May, Jasmin Savoy Brown, Mason Gooding",197.6284,5.8,495,"Neve Campbell, Courteney Cox, Isabel May, Jasmin Savoy Brown, Mason Gooding"
1171145,"crime, thriller","Crime, Thriller","When an elusive thief whose high-stakes heists unfold along the iconic 101 freeway in Los Angeles eyes the score of a lifetime, with hopes of this being his final job, his path collides with a disillusioned insurance broker who is facing her own crossroads. Determined to crack the case, a relentless detective closes in on the operation, raising the stakes even higher.","Chris Hemsworth, Mark Ruffalo, Halle Berry, Barry Keoghan, Monica Barbaro","Chris Hemsworth, Mark Ruffalo, Halle Berry, Barry Keoghan, Monica Barbaro","Chris Hemsworth, Mark Ruffalo, Halle Berry, Barry Keoghan, Monica Barbaro",185.0736,6.996,225,"Chris Hemsworth, Mark Ruffalo, Halle Berry, Barry Keoghan, Monica Barbaro"
848116,"comedy, drama, family, romance","Comedy, Drama, Family, Romance","Gym-freak brat Rocky falls in love with Rani, who comes from a well-educated Bengali family. Being from polar opposite worlds, the two decide to switch their families to adjust to each other's cultures and backgrounds and to know if their marriage will survive. Rocky and Rani are trapped in a world where they are united by love but divided by families and the ultimate question is will they fit in?","Alia Bhatt, Ranveer Singh, Jaya Bachchan, Shabana Azmi, Dharmendra","Alia Bhatt, Ranveer Singh, Jaya Bachchan, Shabana Azmi, Dharmendra","Alia Bhatt, Ranveer Singh, Jaya Bachchan, Shabana Azmi, Dharmendra",130.6972,6.045,78,"Alia Bhatt, Ranveer Singh, Jaya Bachchan, Shabana Azmi, Dharmendra"
1084242,"animation, comedy, adventure, family, mystery","Animation, Comedy, Adventure, Family, Mystery","After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.","Ginnifer Goodwin, Jason Bateman, Ke Huy Quan, Fortune Feimster, Andy Samberg","Ginnifer Goodwin, Jason Bateman, Ke Huy Quan, Fortune Feimster, Andy Samberg","Ginnifer Goodwin, Jason Bateman, Ke Huy Quan, Fortune Feimster, Andy Samberg",117.2355,7.598,2398,"Ginnifer Goodwin, Jason Bateman, Ke Huy Quan, Fortune Feimster, Andy Samberg"
879945,drama,Drama,"Louis, a Flemish writer, decides to isolate himself at the Côte d’Azur, hoping this place will bring him inspiration.","Geert Van Rampelberg, Samuel Suchod, Anna Sacuto, Cathy Ruiz","Geert Van Rampelberg, Samuel Suchod, Anna Sacuto, Cathy Ruiz","Geert Van Rampelberg, Samuel Suchod, Anna Sacuto, Cathy Ruiz",101.7014,8.5,2,"Geert Van Rampelberg, Samuel Suchod, Anna Sacuto, Cathy Ruiz"
999136,horror,Horror,"A group of young explorers investigates an old abandoned hotel, only to encounter a strange supernatural being and a competing group looking for a legendary hidden treasure.","Francesca Reale, Nicholas Hamilton, Adeline Rudolph, Jake Manley, Shane Paul McGhie","Francesca Reale, Nicholas Hamilton, Adeline Rudolph, Jake Manley, Shane Paul McGhie","Francesca Reale, Nicholas Hamilton, Adeline Rudolph, Jake Manley, Shane Paul McGhie",113.6367,5.209,43,"Francesca Reale, Nicholas Hamilton, Adeline Rudolph, Jake Manley, Shane Paul McGhie"
1327819,"animation, family, science fiction, comedy, adventure","Animation, Family, Science Fiction, Comedy, Adventure","Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.","Piper Curda, Bobby Moynihan, Jon Hamm, Kathy Najimy, Dave Franco","Piper Curda, Bobby Moynihan, Jon Hamm, Kathy Najimy, Dave Franco","Piper Curda, Bobby Moynihan, Jon Hamm, Kathy Najimy, Dave Franco",103.8093,7.572,348,"Piper Curda, Bobby Moynihan, Jon Hamm, Kathy Najimy, Dave Franco"
1316092,"romance, drama","Romance, Drama","Tragedy strikes when Heathcliff falls in love with Catherine Earnshaw, a woman from a wealthy family in 18th-century England.","Margot Robbie, Jacob Elordi, Hong Chau, Alison Oliver, Shazad Latif","Margot Robbie, Jacob Elordi, Hong Chau, Alison Oliver, Shazad Latif","Margot Robbie, Jacob Elordi, Hong Chau, Alison Oliver, Shazad Latif",117.0988,6.406,595,"Margot Robbie, Jacob Elordi, Hong Chau, Alison Oliver, Shazad Latif"
1193501,"horror, mystery","Horror, Mystery","A misfit group of unwitting high school students stumble upon a cursed object, an ancient Aztec Death Whistle. They discover that blowing the whistle and the terrifying sound it emits will summon their future deaths to hunt them down.","Dafne Keen, Sophie Nélisse, Sky Yang, Jhaleil Swaby, Alissa Skovbye","Dafne Keen, Sophie Nélisse, Sky Yang, Jhaleil Swaby, Alissa Skovbye","Dafne Keen, Sophie Nélisse, Sky Yang, Jhaleil Swaby, Alissa Skovbye",101.7063,6.0,205,"Dafne Keen, Sophie Nélisse, Sky Yang, Jhaleil Swaby, Alissa Skovbye"
1572073,horror,Horror,"Some secrets are better left at the bottom of the ocean. Once she's in your house, there is no escape. When a struggling artist pulls a beautiful, unconscious woman from the freezing coastal waters, he thinks he’s performed a miracle. But as she recovers within the walls of his secluded home, a series of unsettling events leads him to a terrifying realization: her presence is no coincidence. She is inextricably linked to the same watery grave that claimed his family years ago.","Elliott Eason, Sophia Carroll, Eleanor Mackenzie, Anastasia Nikolaeva, Maddy Baskerville","Elliott Eason, Sophia Carroll, Eleanor Mackenzie, Anastasia Nikolaeva, Maddy Baskerville","Elliott Eason, Sophia Carroll, Eleanor Mackenzie, Anastasia Nikolaeva, Maddy Baskerville",94.0241,4.717,23,"Elliott Eason, Sophia Carroll, Eleanor Mackenzie, Anastasia Nikolaeva, Maddy Baskerville"
1582770,"action, crime, thriller","Action, Crime, Thriller","As rival gangs, corrupt officials and a ruthless Major Iqbal close in, Hamza's mission for his country spirals into a bloody personal war where the line between patriot and monster disappears in the streets of Lyari.","Ranveer Singh, Arjun Rampal, R. Madhavan, Sanjay Dutt, Sara Arjun","Ranveer Singh, Arjun Rampal, R. Madhavan, Sanjay Dutt, Sara Arjun","Ranveer Singh, Arjun Rampal, R. Madhavan, Sanjay Dutt, Sara Arjun",85.2564,7.449,39,"Ranveer Singh, Arjun Rampal, R. Madhavan, Sanjay Dutt, Sara Arjun"
1311031,"animation, action, fantasy","Animation, Action, Fantasy","The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.","Natsuki Hanae, Takahiro Sakurai, Akira Ishida, Hiro Shimono, Yoshimasa Hosoya","Natsuki Hanae, Takahiro Sakurai, Akira Ishida, Hiro Shimono, Yoshimasa Hosoya","Natsuki Hanae, Takahiro Sakurai, Akira Ishida, Hiro Shimono, Yoshimasa Hosoya",92.8253,7.665,774,"Natsuki Hanae, Takahiro Sakurai, Akira Ishida, Hiro Shimono, Yoshimasa Hosoya"
1236153,"science fiction, action, thriller","Science Fiction, Action, Thriller","In the near future, a detective stands on trial accused of murdering his wife. He has ninety minutes to prove his innocence to the advanced AI Judge he once championed, before it determines his fate.","Chris Pratt, Rebecca Ferguson, Kali Reis, Kylie Rogers, Chris Sullivan","Chris Pratt, Rebecca Ferguson, Kali Reis, Kylie Rogers, Chris Sullivan","Chris Pratt, Rebecca Ferguson, Kali Reis, Kylie Rogers, Chris Sullivan",88.7686,7.013,933,"Chris Pratt, Rebecca Ferguson, Kali Reis, Kylie Rogers, Chris Sullivan"
680493,"mystery, drama, horror","Mystery, Drama, Horror","When James receives a mysterious letter from his lost love Mary, he is drawn to Silent Hill—a once-familiar town now consumed by darkness. As he searches for her, James faces monstrous creatures and unravels a terrifying truth that will push him to the edge of his sanity.","Jeremy Irvine, Hannah Emily Anderson, Evie Templeton, Pearse Egan, Nicola Alexis","Jeremy Irvine, Hannah Emily Anderson, Evie Templeton, Pearse Egan, Nicola Alexis","Jeremy Irvine, Hannah Emily Anderson, Evie Templeton, Pearse Egan, Nicola Alexis",86.6047,5.0,305,"Jeremy Irvine, Hannah Emily Anderson, Evie Templeton, Pearse Egan, Nicola Alexis"
1168190,"action, comedy, crime, mystery","Action, Comedy, Crime, Mystery","Estranged half-brothers Jonny and James reunite after their father's mysterious death. As they search for the truth, buried secrets reveal a conspiracy threatening to tear their family apart.","Dave Bautista, Jason Momoa, Temuera Morrison, Morena Baccarin, Roimata Fox","Dave Bautista, Jason Momoa, Temuera Morrison, Morena Baccarin, Roimata Fox","Dave Bautista, Jason Momoa, Temuera Morrison, Morena Baccarin, Roimata Fox",82.2252,6.906,844,"Dave Bautista, Jason Momoa, Temuera Morrison, Morena Baccarin, Roimata Fox"
755898,"science fiction, thriller","Science Fiction, Thriller","Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.","Ice Cube, Eva Longoria, Clark Gregg, Iman Benson, Henry Hunter Hall","Ice Cube, Eva Longoria, Clark Gregg, Iman Benson, Henry Hunter Hall","Ice Cube, Eva Longoria, Clark Gregg, Iman Benson, Henry Hunter Hall",77.4694,4.156,942,"Ice Cube, Eva Longoria, Clark Gregg, Iman Benson, Henry Hunter Hall"
1088434,"action, thriller","Action, Thriller",A drifter with a mysterious past arrives in a small town and finds the residents in the grip of a ruthless crime boss and realizes he has to help them.,"Stephen Lang, Harvey Keitel, Scottie Thompson, Dolph Lundgren, Chris Mullinax","Stephen Lang, Harvey Keitel, Scottie Thompson, Dolph Lundgren, Chris Mullinax","Stephen Lang, Harvey Keitel, Scottie Thompson, Dolph Lundgren, Chris Mullinax",79.3268,6.857,64,"Stephen Lang, Harvey Keitel, Scottie Thompson, Dolph Lundgren, Chris Mullinax"
